Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,IELTS Score
162,298,99,1,1.5,3,2.98,0,0.53,7
163,318,109,3,3,3,3.4,0,0.67,7.5
164,317,105,3,3.5,3,3.42,0,0.68,7.5
165,329,111,4,4.5,4,3.6,1,0.81,8
166,322,110,5,4.5,4,3.59,0,0.78,8
167,302,102,3,3.5,5,3.33,0,0.65,7.5
168,313,102,3,2,3,3.31,0,0.64,7.5
169,293,97,2,2,4,3.12,1,0.64,7
170,311,99,2,2.5,3,3.19,0,0.65,7
171,312,101,2,2.5,3.5,3.22,1,0.68,7
172,334,117,5,4,4.5,3.63,1,0.89,8.5
173,322,110,4,4,5,3.65,1,0.86,8
174,323,113,4,4,4.5,3.69,1,0.89,8
175,321,111,4,4,4,3.59,1,0.87,8
176,320,111,4,4.5,3.5,3.55,1,0.85,8
177,329,119,4,4.5,4.5,3.66,1,0.9,9
178,319,110,3,3.5,3.5,3.62,0,0.82,8
179,309,108,3,2.5,3,3.25,0,0.72,7.5
180,307,102,3,3,3,3.31,0,0.73,7.5
181,300,104,3,3.5,3,3.26,0,0.71,7.5
182,305,107,2,2.5,2.5,3.37,0,0.71,7.5
183,299,100,2,3,3.5,3.15,0,0.68,7
184,314,110,3,4,4,3.52,0,0.75,8
185,316,106,2,2.5,4,3.33,0,0.72,7.5
186,327,113,4,4.5,4.5,3.64,1,0.89,8
187,317,107,3,3.5,3,3.47,1,0.84,7.5
188,335,118,5,4.5,3.5,3.78,1,0.93,9
189,331,115,5,4.5,3.5,3.74,1,0.93,8.5
190,324,112,5,5,5,3.63,1,0.88,8
191,324,111,5,4.5,4,3.66,1,0.9,8
192,323,110,5,4,5,3.59,1,0.87,8
193,322,114,5,4.5,4,3.58,1,0.86,8
194,336,118,5,4.5,5,3.81,1,0.94,9
195,316,109,3,3.5,3,3.5,0,0.77,7.5
196,307,107,2,3,3.5,3.41,1,0.78,7.5
197,306,105,2,3,2.5,3.3,0,0.73,7.5
198,310,106,2,3.5,2.5,3.33,0,0.73,7.5
199,311,104,3,4.5,4.5,3.37,0,0.7,7.5
200,313,107,3,4,4.5,3.48,0,0.72,7.5
201,317,103,3,2.5,3,3.42,1,0.73,7.5
202,315,110,2,3.5,3,3.38,1,0.72,8
203,340,120,5,4.5,4.5,3.96,1,0.97,9
204,334,120,5,4,5,3.95,1,0.97,9
205,298,105,3,3.5,4,3.42,0,0.69,7.5
206,295,99,2,2.5,3,3.06,0,0.57,7
207,315,99,2,3.5,3,3.16,0,0.63,7
208,310,102,3,3.5,4,3.21,1,0.66,7.5
209,305,106,2,3,3,3.26,0,0.64,7.5
210,301,104,3,3.5,4,3.25,1,0.68,7.5
211,325,108,4,4.5,4,3.62,1,0.79,7.5
212,328,110,4,5,4,3.66,1,0.82,8
213,338,120,4,5,5,3.86,1,0.95,9
214,333,119,5,5,4.5,3.91,1,0.96,9
215,331,117,4,4.5,5,3.77,1,0.94,8.5
216,330,116,5,5,4.5,3.74,1,0.93,8.5
217,322,112,4,4.5,4.5,3.7,1,0.91,8
218,321,109,4,4,4,3.65,1,0.85,7.5
219,324,110,4,3,3.5,3.59,1,0.84,8
220,312,104,3,3.5,3.5,3.37,0,0.74,7.5
221,313,103,3,4,4,3.5,0,0.76,7.5
222,316,110,3,3.5,4,3.42,0,0.75,8
223,324,113,4,4.5,4,3.52,0,0.76,8
224,308,109,2,3,4,3.38,0,0.71,7.5
225,305,105,2,3,2,3.29,0,0.67,7.5
226,296,99,2,2.5,2.5,3.21,0,0.61,7
227,306,110,2,3.5,4,3.38,0,0.63,8
228,312,110,2,3.5,3,3.41,0,0.64,8
229,318,112,3,4,3.5,3.47,0,0.71,8
230,324,111,4,3,3,3.6,1,0.82,8
231,313,104,3,4,4.5,3.46,0,0.73,7.5
232,319,106,3,3.5,2.5,3.33,1,0.74,7.5
233,312,107,2,2.5,3.5,3.31,0,0.69,7.5
234,304,100,2,2.5,3.5,3.23,0,0.64,7
235,330,113,5,5,4,3.72,1,0.91,8
236,326,111,5,4.5,4,3.69,1,0.88,8
237,325,112,4,4,4.5,3.67,1,0.85,8
238,329,114,5,4.5,5,3.68,1,0.86,8
239,310,104,3,2,3.5,3.35,0,0.7,7.5
240,299,100,1,1.5,2,3.16,0,0.59,7
241,296,101,1,2.5,3,3.07,0,0.6,7
242,317,103,2,2.5,2,3.26,0,0.65,7.5
243,324,115,3,3.5,3,3.5,1,0.7,8.5
244,325,114,3,3.5,3,3.62,1,0.76,8
245,314,107,2,2.5,4,3.42,0,0.63,7.5
246,328,110,4,4,2.5,3.61,1,0.81,8
247,316,105,3,3,3.5,3.49,0,0.72,7.5
248,311,104,2,2.5,3.5,3.39,0,0.71,7.5
249,324,110,3,3.5,4,3.55,1,0.8,8
250,321,111,3,3.5,4,3.53,1,0.77,8
251,320,104,3,3,2.5,3.43,1,0.74,7.5
252,316,99,2,2.5,3,3.6,0,0.7,7
253,318,100,2,2.5,3.5,3.42,1,0.71,7
254,335,115,4,4.5,4.5,3.87,1,0.93,8.5
255,321,114,4,4,5,3.65,0,0.85,8
256,307,110,4,4,4.5,3.35,0,0.79,8
257,309,99,3,4,4,3.42,0,0.76,7
258,324,100,3,4,5,3.46,1,0.78,7
259,326,102,4,5,5,3.5,1,0.77,7.5
260,331,119,4,5,4.5,3.74,1,0.9,9
261,327,108,5,5,3.5,3.65,1,0.87,7.5
262,312,104,3,3.5,4,3.24,0,0.71,7.5
263,308,103,2,2.5,4,3.34,1,0.7,7.5
264,324,111,3,2.5,1.5,3.52,1,0.7,8
265,325,110,2,3,2.5,3.5,1,0.75,8
266,313,102,3,2.5,2.5,3.47,0,0.71,7.5
267,312,105,2,2,2.5,3.38,0,0.72,7.5
268,314,107,3,3,3.5,3.27,1,0.73,7.5
269,327,113,4,4.5,5,3.66,0,0.83,8
270,308,108,4,4.5,5,3.34,0,0.77,7.5
271,306,105,2,2.5,3,3.29,1,0.72,7.5
272,299,96,2,1.5,2,3.14,0,0.54,7
273,294,95,1,1.5,1.5,3.06,0,0.49,7
274,312,99,1,1,1.5,3.2,1,0.52,7
275,315,100,1,2,2.5,3.18,0,0.58,7
276,322,110,3,3.5,3,3.58,1,0.78,8
277,329,113,5,5,4.5,3.78,1,0.89,8
278,320,101,2,2.5,3,3.45,0,0.7,7
279,308,103,2,3,3.5,3.4,0,0.66,7.5
280,304,102,2,3,4,3.49,0,0.67,7.5
281,311,102,3,4.5,4,3.46,1,0.68,7.5
282,317,110,3,4,4.5,3.64,1,0.8,8
283,312,106,3,4,3.5,3.52,1,0.81,7.5
284,321,111,3,2.5,3,3.56,1,0.8,8
285,340,112,4,5,4.5,3.86,1,0.94,8
286,331,116,5,4,4,3.7,1,0.93,8.5
287,336,118,5,4.5,4,3.68,1,0.92,9
288,324,114,5,5,4.5,3.63,1,0.89,8
289,314,104,4,5,5,3.61,0,0.82,7.5
290,313,109,3,4,3.5,3.6,0,0.79,7.5
291,307,105,2,2.5,3,3.06,0,0.58,7.5
292,300,102,2,1.5,2,3.15,0,0.56,7.5
293,302,99,2,1,2,3.19,0,0.56,7
294,312,98,1,3.5,3,3.27,1,0.64,7
295,316,101,2,2.5,2,3.33,1,0.61,7
296,317,100,2,3,2.5,3.43,0,0.68,7
297,310,107,3,3.5,3.5,3.47,0,0.76,7.5
298,320,120,3,4,4.5,3.64,0,0.86,9
299,330,114,3,4.5,4.5,3.7,1,0.9,8
300,305,112,3,3,3.5,3.46,0,0.71,8
301,309,106,2,2.5,2.5,3.2,0,0.62,7.5
302,319,108,2,2.5,3,3.5,0,0.66,7.5
303,322,105,2,3,3,3.38,1,0.65,7.5
304,323,107,3,3.5,3.5,3.42,1,0.73,7.5
305,313,106,2,2.5,2,3.37,0,0.62,7.5
306,321,109,3,3.5,3.5,3.52,1,0.74,7.5
307,323,110,3,4,3.5,3.64,1,0.79,8
308,325,112,4,4,4,3.6,1,0.8,8
309,312,108,3,3.5,3,3.41,0,0.69,7.5
310,308,110,4,3.5,3,3.44,0,0.7,8
311,320,104,3,3,3.5,3.5,1,0.76,7.5
312,328,108,4,4.5,4,3.67,1,0.84,7.5
313,311,107,4,4.5,4.5,3.6,1,0.78,7.5
314,301,100,3,3.5,3,3.22,0,0.67,7
315,305,105,2,3,4,3.25,0,0.66,7.5
316,308,104,2,2.5,3,3.23,0,0.65,7.5
317,298,101,2,1.5,2,3.14,0,0.54,7
318,300,99,1,1,2.5,3.2,0,0.58,7
319,324,111,3,2.5,2,3.52,1,0.79,8
320,327,113,4,3.5,3,3.48,1,0.8,8
321,317,106,3,4,3.5,3.4,1,0.75,7.5
322,323,104,3,4,4,3.38,1,0.73,7.5
323,314,107,2,2.5,4,3.31,0,0.72,7.5
324,305,102,2,2,2.5,3.27,0,0.62,7.5
325,315,104,3,3,2.5,3.33,0,0.67,7.5
326,326,116,3,3.5,4,3.66,1,0.81,8.5
327,299,100,3,2,2,3.21,0,0.63,7
328,295,101,2,2.5,2,3.14,0,0.69,7
329,324,112,4,4,3.5,3.51,1,0.8,8
330,297,96,2,2.5,1.5,3.16,0,0.43,7
331,327,113,3,3.5,3,3.46,1,0.8,8
332,311,105,2,3,2,3.25,1,0.73,7.5
333,308,106,3,3.5,2.5,3.28,1,0.75,7.5
334,319,108,3,3,3.5,3.42,1,0.71,7.5
335,312,107,4,4.5,4,3.46,1,0.73,7.5
336,325,111,4,4,4.5,3.64,1,0.83,8
337,319,110,3,3,2.5,3.52,0,0.72,8
338,332,118,5,5,5,3.79,1,0.94,9
339,323,108,5,4,4,3.5,1,0.81,7.5
340,324,107,5,3.5,4,3.46,1,0.81,7.5
341,312,107,3,3,3,3.38,1,0.75,7.5
342,326,110,3,3.5,3.5,3.5,1,0.79,8
343,308,106,3,3,3,3.3,0,0.58,7.5
344,305,103,2,2.5,3.5,3.25,0,0.59,7.5
345,295,96,2,1.5,2,2.94,0,0.47,7
346,316,98,1,1.5,2,2.97,0,0.49,7
347,304,97,2,1.5,2,3.06,0,0.47,7
348,299,94,1,1,1,2.94,0,0.42,7
349,302,99,1,2,2,2.9,0,0.57,7
350,313,101,3,2.5,3,3.22,0,0.62,7
351,318,107,3,3,3.5,3.31,1,0.74,7.5
352,325,110,4,3.5,4,3.47,1,0.73,8
353,303,100,2,3,3.5,3.22,1,0.64,7
354,300,102,3,3.5,2.5,3.27,0,0.63,7.5
355,297,98,2,2.5,3,3.07,0,0.59,7
356,317,106,2,2,3.5,3.25,0,0.73,7.5
357,327,109,3,3.5,4,3.51,1,0.79,7.5
358,301,104,2,3.5,3.5,3.16,1,0.68,7.5
359,314,105,2,2.5,2,3.06,0,0.7,7.5
360,321,107,2,2,1.5,3.38,0,0.81,7.5
361,322,110,3,4,5,3.46,1,0.85,8
362,334,116,4,4,3.5,3.82,1,0.93,8.5
363,338,115,5,4.5,5,3.69,1,0.91,8.5
364,306,103,2,2.5,3,3.34,0,0.69,7.5
365,313,102,3,3.5,4,3.56,1,0.77,7.5
366,330,114,4,4.5,3,3.67,1,0.86,8
367,320,104,3,3.5,4.5,3.34,1,0.74,7.5
368,311,98,1,1,2.5,2.98,0,0.57,7
369,298,92,1,2,2,3.15,0,0.51,6.5
370,301,98,1,2,3,3.21,1,0.67,7
371,310,103,2,2.5,2.5,3.3,0,0.72,7.5
372,324,110,3,3.5,3,3.69,1,0.89,8
373,336,119,4,4.5,4,3.85,1,0.95,9
374,321,109,3,3,3,3.42,1,0.79,7.5
375,315,105,2,2,2.5,3.06,0,0.39,7.5
376,304,101,2,2,2.5,3.06,0,0.38,7
377,297,96,2,2.5,2,2.97,0,0.34,7
378,290,100,1,1.5,2,3.02,0,0.47,7
379,303,98,1,2,2.5,3.06,0,0.56,7
380,311,99,1,2.5,3,3.37,1,0.71,7
381,322,104,3,3.5,4,3.54,1,0.78,7.5
382,319,105,3,3,3.5,3.47,1,0.73,7.5
383,324,110,4,4.5,4,3.66,1,0.82,8
384,300,100,3,3,3.5,3.3,0,0.62,7
385,340,113,4,5,5,3.9,1,0.96,8
386,335,117,5,5,5,3.93,1,0.96,8.5
387,302,101,2,2.5,3.5,3.18,0,0.46,7
388,307,105,2,2,3.5,3.24,0,0.53,7.5
389,296,97,2,1.5,2,3.12,0,0.49,7
390,320,108,3,3.5,4,3.38,1,0.76,7.5
391,314,102,2,2,2.5,3.3,0,0.64,7.5
392,318,106,3,2,3,3.46,0,0.71,7.5
393,326,112,4,4,3.5,3.65,1,0.84,8
394,317,104,2,3,3,3.5,0,0.77,7.5
395,329,111,4,4.5,4,3.69,1,0.89,8
396,324,110,3,3.5,3.5,3.62,1,0.82,8
397,325,107,3,3,3.5,3.64,1,0.84,7.5
398,330,116,4,5,4.5,3.78,1,0.91,8.5
399,312,103,3,3.5,4,3.51,0,0.67,7.5
400,333,117,4,5,4,3.86,1,0.95,8.5
401,304,100,2,3.5,3,3.29,0,0.63,7
402,315,105,2,3,3,3.34,0,0.66,7.5
403,324,109,3,3.5,3,3.58,1,0.78,7.5
404,330,116,4,4,3.5,3.69,1,0.91,8.5
405,311,101,3,2,2.5,3.06,1,0.62,7
406,302,99,3,2.5,3,2.98,0,0.52,7
407,322,103,4,3,2.5,3.21,1,0.61,7.5
408,298,100,3,2.5,4,3.18,1,0.58,7
409,297,101,3,2,4,3.07,1,0.57,7
410,300,98,1,2,2.5,3.21,0,0.61,7
411,301,96,1,3,4,3.02,0,0.54,7
412,313,94,2,2.5,1.5,3.25,0,0.56,7
413,314,102,4,2.5,2,3.15,1,0.59,7.5
414,317,101,3,3,2,3.18,1,0.49,7
415,321,110,4,3.5,4,3.34,1,0.72,8
416,327,106,4,4,4.5,3.5,1,0.76,7.5
417,315,104,3,4,2.5,3.24,0,0.65,7.5
418,316,103,3,3.5,2,3.07,0,0.52,7.5
419,309,111,2,2.5,4,3.21,0,0.6,8
420,308,102,2,2,3.5,3.19,1,0.58,7.5
421,299,100,3,2,3,2.97,0,0.42,7
422,321,112,3,3,4.5,3.58,1,0.77,8
423,322,112,4,3.5,2.5,3.61,1,0.73,8
424,334,119,5,4.5,5,3.82,1,0.94,9
425,325,114,5,4,5,3.78,1,0.91,8
426,323,111,5,4,5,3.94,1,0.92,8
427,312,106,3,3,5,3.43,0,0.71,7.5
428,310,101,3,3.5,5,3.46,1,0.71,7
429,316,103,2,2,4.5,3.5,0,0.69,7.5
430,340,115,5,5,4.5,3.62,1,0.95,8.5
431,311,104,3,4,3.5,3.25,1,0.74,7.5
432,320,112,2,3.5,3.5,3.51,1,0.73,8
433,324,112,4,4.5,4,3.69,1,0.86,8
434,316,111,4,4,5,3.42,0,0.71,8
435,306,103,3,3.5,3,3.28,0,0.64,7.5
436,309,105,2,2.5,4,3.07,0,0.55,7.5
437,310,110,1,1.5,4,2.89,1,0.58,8
438,317,106,1,1.5,3.5,3.06,1,0.61,7.5
439,318,110,1,2.5,3.5,3.42,1,0.67,8
440,312,105,2,1.5,3,3.38,0,0.66,7.5
441,305,104,2,2.5,1.5,3.12,0,0.53,7.5
442,332,112,1,1.5,3,3.46,1,0.79,8
443,331,116,4,4.5,4.5,3.78,1,0.92,8.5
444,321,114,5,4.5,4.5,3.66,1,0.87,8
445,324,113,5,4,5,3.7,1,0.92,8
446,328,116,5,4.5,5,3.63,1,0.91,8.5
447,327,118,4,5,5,3.87,1,0.93,9
448,320,108,3,3.5,5,3.59,1,0.84,7.5
449,312,109,2,2.5,4,3.61,0,0.8,7.5
450,315,101,3,3.5,4.5,3.65,0,0.79,7
451,320,112,4,3,4.5,3.54,1,0.82,8
452,324,113,4,4.5,4.5,3.7,1,0.89,8
453,328,116,4,5,3.5,3.84,1,0.93,8.5
454,319,103,3,2.5,4,3.5,1,0.73,7.5
455,310,105,2,3,3.5,3.2,0,0.71,7.5
456,305,102,2,1.5,2.5,3.06,0,0.59,7.5
457,299,100,2,2,2,3.15,0,0.51,7
458,295,99,1,2,1.5,3.03,0,0.37,7
459,312,100,1,3,3,3.41,1,0.69,7
460,329,113,4,4,3.5,3.74,1,0.89,8
461,319,105,4,4,4.5,3.46,1,0.77,7.5
462,301,102,3,2.5,2,3.25,1,0.68,7.5
463,307,105,4,3,3,3.18,0,0.62,7.5
464,304,107,3,3.5,3,3.14,0,0.57,7.5
465,298,97,2,2,3,2.88,0,0.45,7
466,305,96,4,3,4.5,3.3,0,0.54,7
467,314,99,4,3.5,4.5,3.49,1,0.71,7
468,318,101,5,3.5,5,3.51,1,0.78,7
469,323,110,4,4,5,3.55,1,0.81,8
470,326,114,4,4,3.5,3.66,1,0.86,8
471,320,110,5,4,4,3.71,1,0.87,8
472,311,103,3,2,4,3.24,0,0.64,7.5
473,327,116,4,4,4.5,3.79,1,0.9,8.5
474,316,102,2,4,3.5,3.26,0,0.67,7.5
475,308,105,4,3,2.5,3.18,1,0.67,7.5
476,300,101,3,3.5,2.5,3.15,0,0.59,7
477,304,104,3,2.5,2,3.25,0,0.62,7.5
478,309,105,4,3.5,2,3.27,0,0.65,7.5
479,318,103,3,4,4.5,3.4,1,0.71,7.5
480,325,110,4,4.5,4,3.58,1,0.79,8
481,321,102,3,3.5,4,3.6,1,0.8,7.5
482,323,107,4,3,2.5,3.39,1,0.78,7.5
483,328,113,4,4,2.5,3.51,1,0.83,8
484,304,103,5,5,3,3.17,0,0.71,7.5
485,317,106,3,3.5,3,3.16,1,0.73,7.5
486,311,101,2,2.5,3.5,3.34,1,0.7,7
487,319,102,3,2.5,2.5,3.35,0,0.68,7.5
488,327,115,4,3.5,4,3.66,0,0.79,8.5
489,322,112,3,3,4,3.45,1,0.76,8
490,302,110,3,4,4.5,3.4,0,0.65,8
491,307,105,2,2.5,4.5,3.25,1,0.67,7.5
492,297,99,4,3,3.5,3.12,0,0.54,7
493,298,101,4,2.5,4.5,3.08,1,0.53,7
494,300,95,2,3,1.5,3.29,1,0.62,7
495,301,99,3,2.5,2,3.38,1,0.68,7
496,332,108,5,4.5,4,3.61,1,0.87,7.5
497,337,117,5,5,5,3.95,1,0.96,8.5
498,330,120,5,4.5,5,3.82,1,0.93,9
499,312,103,4,4,5,3.37,0,0.73,7.5
500,327,113,4,4.5,4.5,3.62,0,0.84,8
